keyword,title,price,rating,reviews,platform,delivery,delivery_days,price_missing,rating_missing,reviews_missing,delivery_days_missing
office chair ergonomic,HP office chair ergonomic Model 603,36225.0,3.7,3241.0,Croma,2 Days,2.0,False,False,False,False
microwave oven convection,Samsung microwave oven convection Model 524 !!!,24180.5,4.7,1294.0,Amazon,Free Delivery,,True,False,False,True
power bank fast charging,Samsung power bank fast charging Model 402,27396.0,3.9,3070.0,Croma,Free Delivery,,True,True,False,True
microwave oven convection,Dell microwave oven convection Model 877,2507.0,4.7,3446.0,Flipkart,Free Delivery,,False,False,False,True
men running shoes,Dell men running shoes Model 536,2176.0,3.8,2031.0,Croma,5 Days,5.0,False,False,False,False
power bank fast charging,Samsung power bank fast charging Model 562,5331.0,3.9,4124.0,Reliance Digital,5 Days,5.0,False,True,False,False
air fryer India,Philips air fryer India Model 259,24365.0,2.8,1761.0,Croma,5 Days,5.0,True,False,False,False
office chair ergonomic,Philips office chair ergonomic Model 836,4564.0,3.0,1540.0,Amazon,Free Delivery,,False,False,False,True
microwave oven convection,Boat microwave oven convection Model 588,21830.0,4.0,126.0,Croma,Free Delivery,,False,False,False,True
office chair ergonomic,Puma office chair ergonomic Model 591,19233.0,4.6,3911.0,Reliance Digital,5 Days,5.0,False,False,False,False
men running shoes,Boat men running shoes Model 859 !!!,20381.0,3.7,684.0,Amazon,2 Days,2.0,False,True,False,False
office chair ergonomic,Puma office chair ergonomic Model 417,8744.0,4.9,3832.0,Croma,2 Days,2.0,False,False,False,False
power bank fast charging,Dell power bank fast charging Model 575,190200.0,4.5,4367.0,Croma,Free Delivery,,False,False,False,True
power bank fast charging,Sony power bank fast charging Model 896,5150.0,5.0,2220.0,Croma,2 Days,2.0,False,False,False,False
air fryer India,Philips air fryer India Model 339,45304.0,2.7,1761.0,Reliance Digital,2 Days,2.0,False,False,False,False
men running shoes,Philips men running shoes Model 418,9160.0,3.7,2887.0,Amazon,5 Days,5.0,False,False,False,False
power bank fast charging,LG power bank fast charging Model 382,10945.0,2.9,3032.0,Amazon,Free Delivery,,False,False,False,True
microwave oven convection,HP microwave oven convection Model 409,17931.0,2.9,4166.0,Amazon,2 Days,2.0,False,False,False,False
office chair ergonomic,Puma office chair ergonomic Model 198 !!!,15160.0,3.2,1275.0,Flipkart,2 Days,2.0,False,False,False,False
microwave oven convection,Samsung microwave oven convection Model 810,24180.5,3.3,105.0,Croma,Free Delivery,,True,False,False,True
air fryer India,Sony air fryer India Model 266,45361.0,3.1,2934.0,Croma,5 Days,5.0,False,False,False,False
men running shoes,Puma men running shoes Model 233,22398.0,4.2,4990.0,Flipkart,Free Delivery,,True,False,False,True
power bank fast charging,Puma power bank fast charging Model 621 !!!,48199.0,3.9,203.0,Amazon,2 Days,2.0,False,True,False,False
microwave oven convection,LG microwave oven convection Model 479,24180.5,3.6,1335.0,Amazon,5 Days,5.0,True,False,False,False
men running shoes,Nike men running shoes Model 602,22310.0,3.8,255.0,Croma,5 Days,5.0,False,False,False,False
microwave oven convection,LG microwave oven convection Model 351,31911.0,4.4,2073.0,Reliance Digital,2 Days,2.0,False,False,False,False
office chair ergonomic,Nike office chair ergonomic Model 173,33852.0,4.4,3965.0,Amazon,2 Days,2.0,False,False,False,False
men running shoes,HP men running shoes Model 796,16321.0,4.8,4474.0,Flipkart,5 Days,5.0,False,False,False,False
power bank fast charging,Puma power bank fast charging Model 343,889.0,4.9,3557.0,Reliance Digital,5 Days,5.0,False,False,False,False
microwave oven convection,Nike microwave oven convection Model 438,1670.0,3.9,1982.0,Amazon,2 Days,2.0,False,False,False,False
office chair ergonomic,Sony office chair ergonomic Model 955,28760.0,3.6,2169.0,Flipkart,2 Days,2.0,False,False,False,False
microwave oven convection,Nike microwave oven convection Model 917 !!!,4484.0,3.0,3422.0,Reliance Digital,5 Days,5.0,False,False,False,False
air fryer India,Dell air fryer India Model 250,25576.0,2.9,1041.0,Flipkart,5 Days,5.0,False,False,False,False
power bank fast charging,Boat power bank fast charging Model 977,27396.0,3.3,2070.0,Amazon,5 Days,5.0,True,False,False,False
microwave oven convection,Dell microwave oven convection Model 272,438510.0,4.5,351.0,Reliance Digital,5 Days,5.0,False,False,False,False
air fryer India,LG air fryer India Model 797,10526.0,4.7,4373.0,Reliance Digital,2 Days,2.0,False,False,False,False
office chair ergonomic,LG office chair ergonomic Model 187,7370.0,4.9,324.0,Flipkart,5 Days,5.0,False,False,False,False
power bank fast charging,LG power bank fast charging Model 927,5380.0,2.6,1069.0,Croma,Free Delivery,,False,False,False,True
office chair ergonomic,Boat office chair ergonomic Model 251,10118.0,3.7,2270.0,Amazon,2 Days,2.0,False,False,False,False
men running shoes,Philips men running shoes Model 769,6357.0,3.3,255.0,Reliance Digital,5 Days,5.0,False,False,False,False
power bank fast charging,Dell power bank fast charging Model 326,35283.0,3.8,4008.0,Amazon,2 Days,2.0,False,False,False,False
men running shoes,Dell men running shoes Model 450,2830.0,2.9,3675.0,Amazon,2 Days,2.0,False,False,False,False
power bank fast charging,LG power bank fast charging Model 330,28981.0,3.8,4349.0,Croma,2 Days,2.0,False,False,False,False
office chair ergonomic,LG office chair ergonomic Model 365,42218.0,3.0,138.0,Amazon,Free Delivery,,False,False,False,True
men running shoes,LG men running shoes Model 272,20795.0,4.1,1456.0,Flipkart,2 Days,2.0,False,False,False,False
microwave oven convection,HP microwave oven convection Model 260,10399.0,4.8,1364.0,Croma,2 Days,2.0,False,False,False,False
power bank fast charging,Puma power bank fast charging Model 256,27396.0,3.9,3436.0,Amazon,Free Delivery,,True,True,False,True
men running shoes,HP men running shoes Model 980,22136.0,4.4,2269.0,Croma,Free Delivery,,False,False,False,True
power bank fast charging,Boat power bank fast charging Model 625 !!!,38621.0,3.5,2443.0,Amazon,2 Days,2.0,False,False,False,False
office chair ergonomic,HP office chair ergonomic Model 850,47613.0,4.9,4909.0,Croma,5 Days,5.0,False,False,False,False
microwave oven convection,Boat microwave oven convection Model 255,9089.0,4.1,3138.0,Croma,5 Days,5.0,False,False,False,False
air fryer India,Sony air fryer India Model 404,10311.0,2.9,2685.0,Croma,Free Delivery,,False,False,False,True
air fryer India,Philips air fryer India Model 313 !!!,38075.0,3.5,1080.0,Amazon,Free Delivery,,False,False,False,True
microwave oven convection,Puma microwave oven convection Model 765,8497.0,2.6,1408.0,Croma,2 Days,2.0,False,False,False,False
microwave oven convection,LG microwave oven convection Model 377,15541.0,3.8,1848.0,Reliance Digital,5 Days,5.0,False,True,False,False
power bank fast charging,Nike power bank fast charging Model 332,20043.0,3.7,2355.0,Flipkart,2 Days,2.0,False,False,False,False
microwave oven convection,Puma microwave oven convection Model 583,33632.0,4.5,2526.5,Reliance Digital,Free Delivery,,False,False,True,True
men running shoes,Philips men running shoes Model 437,8752.0,4.7,3962.0,Amazon,5 Days,5.0,False,False,False,False
microwave oven convection,Sony microwave oven convection Model 873,35455.0,3.7,2825.0,Flipkart,5 Days,5.0,False,False,False,False
microwave oven convection,Boat microwave oven convection Model 875,6446.0,4.6,613.0,Amazon,2 Days,2.0,False,False,False,False
microwave oven convection,Sony microwave oven convection Model 369,4789.0,4.6,589.0,Amazon,5 Days,5.0,False,False,False,False
men running shoes,Dell men running shoes Model 900,8466.0,3.2,3377.0,Croma,2 Days,2.0,False,False,False,False
men running shoes,Philips men running shoes Model 503,46885.0,4.4,986.0,Amazon,Free Delivery,,False,False,False,True
microwave oven convection,Sony microwave oven convection Model 912,24180.5,4.0,1238.0,Reliance Digital,2 Days,2.0,True,False,False,False
men running shoes,Samsung men running shoes Model 630,22398.0,2.7,1756.0,Amazon,2 Days,2.0,True,False,False,False
men running shoes,HP men running shoes Model 956,1861.0,3.9,652.0,Croma,5 Days,5.0,False,False,False,False
air fryer India,Dell air fryer India Model 284,36220.0,3.6,2875.0,Croma,Free Delivery,,False,False,False,True
microwave oven convection,Dell microwave oven convection Model 370,41318.0,3.8,4161.0,Reliance Digital,2 Days,2.0,False,False,False,False
office chair ergonomic,Puma office chair ergonomic Model 514,25335.0,4.4,3775.0,Croma,5 Days,5.0,True,False,False,False
men running shoes,Samsung men running shoes Model 311 !!!,47745.0,3.7,1278.0,Flipkart,Free Delivery,,False,True,False,True
microwave oven convection,Nike microwave oven convection Model 591,24180.5,2.7,3821.0,Reliance Digital,5 Days,5.0,True,False,False,False
air fryer India,Dell air fryer India Model 810,10588.0,3.9,4559.0,Croma,5 Days,5.0,False,False,False,False
air fryer India,HP air fryer India Model 922,15908.0,3.0,2532.0,Reliance Digital,5 Days,5.0,False,False,False,False
power bank fast charging,Boat power bank fast charging Model 137,27396.0,3.9,1650.0,Reliance Digital,5 Days,5.0,True,True,False,False
microwave oven convection,HP microwave oven convection Model 231 !!!,15909.0,3.3,3043.0,Reliance Digital,Free Delivery,,False,False,False,True
office chair ergonomic,Nike office chair ergonomic Model 462,23777.0,3.7,1783.0,Croma,2 Days,2.0,False,False,False,False
microwave oven convection,Puma microwave oven convection Model 380,17378.0,4.6,4702.0,Flipkart,5 Days,5.0,False,False,False,False
men running shoes,HP men running shoes Model 157,35128.0,4.7,2310.0,Reliance Digital,2 Days,2.0,False,False,False,False
office chair ergonomic,LG office chair ergonomic Model 374,25335.0,4.5,1364.0,Croma,5 Days,5.0,True,False,False,False
men running shoes,Philips men running shoes Model 776,12533.0,4.8,208.0,Flipkart,Free Delivery,,False,False,False,True
air fryer India,Samsung air fryer India Model 961,14116.0,2.6,2903.0,Croma,Free Delivery,,False,False,False,True
power bank fast charging,Nike power bank fast charging Model 363 !!!,702.0,4.5,1477.0,Flipkart,2 Days,2.0,False,False,False,False
men running shoes,Dell men running shoes Model 705,20430.0,4.6,4958.0,Croma,2 Days,2.0,False,False,False,False
microwave oven convection,Samsung microwave oven convection Model 692,49213.0,4.9,4261.0,Amazon,Free Delivery,,False,False,False,True
microwave oven convection,HP microwave oven convection Model 498,36910.0,3.3,1021.0,Flipkart,2 Days,2.0,False,False,False,False
microwave oven convection,Boat microwave oven convection Model 460,16391.0,4.4,4959.0,Croma,2 Days,2.0,False,False,False,False
office chair ergonomic,Boat office chair ergonomic Model 748,27212.0,3.0,2333.0,Flipkart,Free Delivery,,False,False,False,True
power bank fast charging,LG power bank fast charging Model 928,23555.0,4.9,506.0,Flipkart,Free Delivery,,False,False,False,True
